DateTime,Signal,Verdict,Accuracy,Price
6/8/2026 12:07,SELL,BEARISH,CORRECT,
6/8/2026 12:07,SELL,BEARISH,CORRECT,
6/8/2026 12:08,SELL,BEARISH,CORRECT,
6/8/2026 12:09,SELL,BEARISH,CORRECT,
6/8/2026 12:10,SELL,BEARISH,CORRECT,
6/8/2026 12:10,SELL,BEARISH,CORRECT,
6/8/2026 12:10,SELL,BEARISH,CORRECT,
6/8/2026 12:31,NO TRADE,WAIT,PENDING,
6/8/2026 12:43,NO TRADE,WAIT,PENDING,
6/9/2026 0:01,SELL,BEARISH,CORRECT,
6/9/2026 0:07,SELL,BEARISH,CORRECT,
6/9/2026 0:08,SELL,BEARISH,CORRECT,
6/9/2026 0:15,SELL,BEARISH,CORRECT,
6/9/2026 0:21,SELL,BEARISH,CORRECT,
6/9/2026 0:27,SELL,BEARISH,CORRECT,
6/9/2026 0:31,SELL,BEARISH,CORRECT,
6/9/2026 0:44,SELL,BEARISH,CORRECT,
6/9/2026 0:46,SELL,BEARISH,CORRECT,
6/9/2026 0:46,SELL,BEARISH,CORRECT,
6/9/2026 0:46,SELL,BEARISH,CORRECT,
6/9/2026 0:49,SELL,BEARISH,CORRECT,
6/9/2026 0:51,SELL,BEARISH,CORRECT,
6/9/2026 0:53,SELL,BEARISH,CORRECT,
6/9/2026 0:54,SELL,BEARISH,CORRECT,
6/9/2026 0:55,SELL,BEARISH,CORRECT,
6/9/2026 11:26,NO TRADE,WAIT,PENDING,
6/9/2026 11:27,NO TRADE,WAIT,PENDING,
6/9/2026 11:38,NO TRADE,WAIT,PENDING,
6/9/2026 11:39,NO TRADE,WAIT,PENDING,
6/9/2026 11:39,NO TRADE,WAIT,PENDING,
6/9/2026 12:04,NO TRADE,WAIT,PENDING,
6/9/2026 12:20,NO TRADE,WAIT,PENDING,
6/9/2026 12:23,NO TRADE,WAIT,PENDING,
6/9/2026 13:35,NO TRADE,WAIT,PENDING,
6/9/2026 14:29,NO TRADE,WAIT,PENDING,23209.80078
6/9/2026 14:29,NO TRADE,WAIT,PENDING,23212.5
6/9/2026 14:37,NO TRADE,WAIT,PENDING,23216.94922
6/9/2026 14:41,NO TRADE,WAIT,PENDING,23255.55078
6/9/2026 14:43,NO TRADE,WAIT,PENDING,23239.84961
6/9/2026 14:44,NO TRADE,WAIT,PENDING,23246.69922
6/9/2026 14:45,NO TRADE,WAIT,PENDING,23247.15039
6/9/2026 14:47,NO TRADE,WAIT,PENDING,23246.44922
6/9/2026 14:49,NO TRADE,WAIT,PENDING,23240.65039
6/9/2026 14:50,NO TRADE,WAIT,PENDING,23247.69922
